m,sd,index
350.68,29.920582,0
353.56,30.260876,0
354.36,21.602861,0
361.76,29.202715,0
350.3,20.146667,0
344.6,19.974476,0
348.0,21.564322,0
346.76,26.708984,0
350.16,27.933119,0
353.68,25.52188,0
350.38,61.484993,1
364.48,48.468056,1
361.8,52.690853,1
359.18,49.952095,1
355.48,49.91349,1
352.34,47.275837,1
352.72,53.988678,1
354.02,52.241005,1
355.12,56.448143,1
355.48,52.76913,1
366.6,26.293482,2
378.98,30.551727,2
379.4,26.225874,2
380.42,31.31218,2
386.06,31.249762,2
378.5,34.728237,2
389.04,34.813774,2
373.92,33.836853,2
375.2,34.007797,2
379.86,34.096508,2

